name,value
NATTUKAL,540
NEDIYAVANCODE,1032
NEDUMANGAD,92
NEDUMBASSERY/ATHANI,1415
NEDUMKANDAM,93
NEDUMUDY,783
NEELESWARAM,422
NELLIMATTOM,1033
NELLIMOODU,845
NEMOM,558
NENMARA,372
NERIYAMANGALAM,516
NEYYAR DAM,95
NEYYATTINKARA,96
NIDUMPOYIL,848
NILAKAL,1342
NILAMBOOR,97
NILAMEL,381
NIMS ,2022
NIRAVILPUZHA,1079
NIRMALA CITY,856
NOOLPUZHA,1205
NORTH VAZHAKULAM,1670
NORTHPARAVOOR,98
OCHIRA,99
ODAKKALI,1014
ODAYANCHAL,735
ODDANCHATHRAM,1197
OOTY,100
PAINAVU,601
PAKRANTHALAM,1466
PALABS,101
PALACHIRA,407
PALAKKAD,102
PALAKKUNNU,1030
PALAMOOD,335
PALANI,104
PALAPETTY,524
PALAVAYAL,1459
PALLASSENA,190
PALLATHURUTHY,1134
PALLICKAL,440
PALLIKKUNNU,847
PALLIKUTUMA,1135
PALLIMUKKU,1665
PALLIMUKKU KLM,841
PALODE,105
PAMBA,106
PAMBADUMPARA,1398
PAMPADI,965
PANAKKAPALA,1986
PANAMARAM,272
PANATHADY,1189
PANATHUR,1005
PANAVELI,1289
PANDALAM,107
PANDALAMPADAM,2114
PANDIKKAD,403
PANIKKANKUDY,1646
PANOOR,270
PAPPANAMCODE,108
PARAPPANANGADI,527
PARASSALA,109
PARASSINIKADAV,110
PARAVOOR,429
PARAYAKADAV,191
PARAYIL JN,409
PARIPPALLY,323
PARIYARAM,444
PATHANAMTHITTA,112
PATHANAPURAM,113
PATHAYAKKUNNU,1454
PATHIRAPALA,1010
PATTAMBI,217
PATTIKKAD,899
PATTOM,338
PAYIPRA,980
PAYYANNUR,115
PAYYOLI,547
PAZHASSI JN,1456
PAZHASSI ROAD,1461
PAZHAVEEDU,2070
PENGAMUKKU,117
PERINGATHUR,1462
PERINTHALMANNA,119
PERUMBAVOOR,121
PERUMPILAVU,934
PERUNADU,1115
PERUVANTHANAM,1235
PEZHAKKAPILLY,959
PHARMACY,1632
PILANKATTA,1447
PIRAPPANCODE,515
PLAMOOD PATTOM,492
PLAPALLY,1152
PODIYADI,556
POINACHI,505
POLLACHI,123
PONGA,1762
PONKUNNAM,124
PONNAMVELY,463
PONNANI,126
POOCHAKKAL,672
POOKKAD,1174
POOKKODE,1246
POOTHAMPARA,1465
POOYAPPALLY,548
POREDAM,1056
PUDUSSERY,1479
PULIYANMALA,1399
PULLUVAZHI,1444
PUNALUR,129
PUTHENCRUZ,717
PUTHIYATHURA,365
PUTHOOR JN,411
PUTHUKKAD,130
PUTHUKUNNU,1664
PUTHUNAGARAM,385
PUTHUVAL,588
PUTHUVELYIL,1375
RAMANATTUKARA,328
RAMANKARY,535
RANDATHANI,1437
RANNI,131
RAYILWAY JN KAZHZKOOTAM,1271
SAKTHIKULANGARA,766
SANKARAMANGALAM,458
SANKARAMKULAM,341
SASTHAMANGALAM,1154
SAVAKKOTTAPPALAM,1628
SEEMATTY,1140
SELAM,133
SHORNUR,619
SL PURAM,476
SREEKANDAPURAM,264
SREEKARYAM,620
STATE BORDER KL,1201
STATE BORDER KN,456
STATE BORDER TN,1202
SUCHEENDRAM,137
SULTHAN BATHERY,138
THALAKKULAM,193
THALAPPADI,140
THALASSERY,141
THALIPARAMBA,238
THAMARASSERY,142
THANJAVUR,275
THEKKADI,194
THENGANA,1798
THENI,280
THENKASI,145
THENMALA,294
THIRUNELVELY,147
THIRUVAIRANIKKULAM,149
THIRUVALLA,150
THIRUVILVAMALA,153
THODUPUZHA,154
THOOKKUPALAM,860
THOONERI,1463
THOPPUMPADY,563
THOTTAPPALLY,564
THOTTILPALAM,155
THRICHY,274
THRIPPALOOR,1614
THRIPPOONITHURA,1274
THRISSUR,156
THUCKALAY,139
THURAVOOR,259
TIRUR,484
TRIPPALUR,1441
TRIPPARAPP,733
TRIPRAYAR,544
TRIPUNITHURA,216
TRIVANDRUM,152
TRIVANDRUM AIRPORT,157
UDIYANKULANGARA,471
UDUMALPET,196
UDUPI,160
UKKADOM,161
ULIYIL,1457
ULLOOR,358
UNIVERSITY,595
UNIVERSITY KKD,243
URUVACHAL,1455
VADAKARA,162
VADAKKAMCHERY,163
VADANAPALLY,545
VADASERIKKARA,606
VAIKOM,165
VALAKOM,213
VALANCHERY,166
VALARA,1473
VALIYAKALAVOOR KSDP,1610
VALLIKKEZHU,1752
VALLITHODE,833
VANDANAM,421
VANDITHAVALAM,195
VANDOOR,1042
VARAPUZHA,357
VARKALA,167
VARKALA TEMPLE,168
VATTAPPARA,296
VAYAKKAL,1196
VAZHAKULAM,718
VAZHAPPALLY LPS,1594
VAZHIKKADAV,170
VELAMKANNI,171
VELLAL CP,1468
VELLAMUNDA,768
VELLARVATTOM,298
VEMBALLUR,1440
VEMBALLY NORTH JN,1448
VEMBAYAM,340
VENGAD,1226
VENJARAMOOD,174
VETTICHIRA,657
VETTUVENNI,852
VIRAJPET,244
VKPADY,1435
VSSC ROAD,716
VYDYUTHI BHAVAN PATTOM,143
VYTTILA,1671
VYTTILA HUB,1403
WADAKKANCHERY,373
WALARDIE,705
WALAYAR RTO,875
